Datetime,Water Level (m)
2022-11-19 12:00:00,0.060270775
2022-11-19 13:00:00,-0.03414347
2022-11-19 14:00:00,-0.083750755
2022-11-19 15:00:00,-0.120108224
2022-11-19 16:00:00,-0.13842921
2022-11-19 17:00:00,-0.018080452
2022-11-19 18:00:00,0.19976051
2022-11-19 19:00:00,0.40316364
2022-11-19 20:00:00,0.55929554
2022-11-19 21:00:00,0.6343246
2022-11-19 22:00:00,0.6225597
2022-11-19 23:00:00,0.4980469
2022-11-20 00:00:00,0.3300612
2022-11-20 01:00:00,0.2109621
2022-11-20 02:00:00,0.13307151
2022-11-20 03:00:00,0.0787267
2022-11-20 04:00:00,0.03001498
2022-11-20 05:00:00,0.026094422
2022-11-20 06:00:00,0.2160725
2022-11-20 07:00:00,0.4474372
2022-11-20 08:00:00,0.6454712
2022-11-20 09:00:00,0.7401523
2022-11-20 10:00:00,0.7298476
2022-11-20 11:00:00,0.5731152
2022-11-20 12:00:00,0.4142028
2022-11-20 13:00:00,0.29022482
2022-11-20 14:00:00,0.1962523
2022-11-20 15:00:00,0.12686816
2022-11-20 16:00:00,0.06756546
2022-11-20 17:00:00,0.029846372
2022-11-20 18:00:00,0.15762763
2022-11-20 19:00:00,0.42397344
2022-11-20 20:00:00,0.66916776
2022-11-20 21:00:00,0.82132393
2022-11-20 22:00:00,0.8827788
2022-11-20 23:00:00,0.81230944
2022-11-21 00:00:00,0.62185585
2022-11-21 01:00:00,0.46866652
2022-11-21 02:00:00,0.34509656
2022-11-21 03:00:00,0.2601312
2022-11-21 04:00:00,0.19258806
2022-11-21 05:00:00,0.13555911
2022-11-21 06:00:00,0.13053794
2022-11-21 07:00:00,0.34800202
2022-11-21 08:00:00,0.60109806
2022-11-21 09:00:00,0.8009163
2022-11-21 10:00:00,0.8742522
2022-11-21 11:00:00,0.8132791
2022-11-21 12:00:00,0.62344867
2022-11-21 13:00:00,0.46894428
2022-11-21 14:00:00,0.34162885
2022-11-21 15:00:00,0.24928398
2022-11-21 16:00:00,0.17463808
2022-11-21 17:00:00,0.11148129
2022-11-21 18:00:00,0.094451815
2022-11-21 19:00:00,0.3158416
2022-11-21 20:00:00,0.59131175
2022-11-21 21:00:00,0.8254557
2022-11-21 22:00:00,0.95159715
2022-11-21 23:00:00,0.9749995
2022-11-22 00:00:00,0.8315471
2022-11-22 01:00:00,0.633261
2022-11-22 02:00:00,0.48668426
2022-11-22 03:00:00,0.3704145
2022-11-22 04:00:00,0.28945255
2022-11-22 05:00:00,0.21948679
2022-11-22 06:00:00,0.15872584
2022-11-22 07:00:00,0.18093823
2022-11-22 08:00:00,0.44262472
2022-11-22 09:00:00,0.7039996
2022-11-22 10:00:00,0.87012786
2022-11-22 11:00:00,0.90107656
2022-11-22 12:00:00,0.7721521
2022-11-22 13:00:00,0.5864269
2022-11-22 14:00:00,0.44084015
2022-11-22 15:00:00,0.3216092
2022-11-22 16:00:00,0.23425342
2022-11-22 17:00:00,0.16039115
2022-11-22 18:00:00,0.10000557
2022-11-22 19:00:00,0.12771828
2022-11-22 20:00:00,0.42456147
2022-11-22 21:00:00,0.7172594
2022-11-22 22:00:00,0.92735195
2022-11-22 23:00:00,1.0340941
2022-11-23 00:00:00,0.9958344
2022-11-23 01:00:00,0.7950715
2022-11-23 02:00:00,0.6083666
2022-11-23 03:00:00,0.46487385
2022-11-23 04:00:00,0.36230782
2022-11-23 05:00:00,0.28671217
2022-11-23 06:00:00,0.21566871
2022-11-23 07:00:00,0.15801728
2022-11-23 08:00:00,0.24541761
2022-11-23 09:00:00,0.5348202
2022-11-23 10:00:00,0.7880676
2022-11-23 11:00:00,0.9072749
2022-11-23 12:00:00,0.887026
2022-11-23 13:00:00,0.7088423
2022-11-23 14:00:00,0.5380375
2022-11-23 15:00:00,0.40040752
2022-11-23 16:00:00,0.2929588
2022-11-23 17:00:00,0.21133952
2022-11-23 18:00:00,0.14030147
2022-11-23 19:00:00,0.08815537
2022-11-23 20:00:00,0.21968888
2022-11-23 21:00:00,0.5559226
2022-11-23 22:00:00,0.83476156
2022-11-23 23:00:00,1.0112362
2022-11-24 00:00:00,1.079666
2022-11-24 01:00:00,0.96973103
2022-11-24 02:00:00,0.74595076
2022-11-24 03:00:00,0.5760404
2022-11-24 04:00:00,0.44208106
2022-11-24 05:00:00,0.35223207
2022-11-24 06:00:00,0.2816046
2022-11-24 07:00:00,0.21260127
2022-11-24 08:00:00,0.16846141
2022-11-24 09:00:00,0.36138493
2022-11-24 10:00:00,0.64295596
2022-11-24 11:00:00,0.8644666
2022-11-24 12:00:00,0.9391864
2022-11-24 13:00:00,0.8646971
2022-11-24 14:00:00,0.66838515
2022-11-24 15:00:00,0.5094124
2022-11-24 16:00:00,0.37755376
2022-11-24 17:00:00,0.27833617
2022-11-24 18:00:00,0.20042841
2022-11-24 19:00:00,0.13048752
2022-11-24 20:00:00,0.10128351
2022-11-24 21:00:00,0.36434537
2022-11-24 22:00:00,0.6888628
2022-11-24 23:00:00,0.9391201
2022-11-25 00:00:00,1.0846941
2022-11-25 01:00:00,1.0977057
2022-11-25 02:00:00,0.92873305
2022-11-25 03:00:00,0.70837635
2022-11-25 04:00:00,0.5489369
2022-11-25 05:00:00,0.43026143
2022-11-25 06:00:00,0.34961733
2022-11-25 07:00:00,0.27898
2022-11-25 08:00:00,0.21120596
2022-11-25 09:00:00,0.19865462
2022-11-25 10:00:00,0.4651106
2022-11-25 11:00:00,0.7388944
2022-11-25 12:00:00,0.91877913
